Division,District,Name,Population20,Quintile,HCR Upper (%),Standard Error (%)
Rajshahi Division,Rajshahi,Paba,361328,Moderate ,19.3,3.7
Rajshahi Division,Rajshahi,Puthia,222489,Low ,13.5,7.6
Rajshahi Division,Rajshahi,Rajpara,106376,Low ,12.7,1.8
Rajshahi Division,Rajshahi,Shah Makhdum,34954,Very Low ,9.5,5.2
Rajshahi Division,Rajshahi,Tanore,211001,Moderate ,19.1,4
Rajshahi Division,Sirajganj,Belkuchi,390526,High ,23.9,2.4
Rajshahi Division,Sirajganj,Chouhali,136727,Low ,14.5,6.4
Rajshahi Division,Sirajganj,Kamarkhanda,152314,Very Low ,8.3,5
Rajshahi Division,Sirajganj,Kazipur,278279,Moderate ,18.3,2.3
Rajshahi Division,Sirajganj,Rayganj,340876,Very Low ,3.6,2.8
Rajshahi Division,Sirajganj,Shahjadpur,592610,Moderate ,15.7,2
Rajshahi Division,Sirajganj,Sirajganj Sadar,608583,Very Low ,3.8,2.2
Rajshahi Division,Sirajganj,Tarash,209096,Very Low ,3.7,2.1
Rajshahi Division,Sirajganj,Ullapara,580839,Very Low ,7.9,2.1
Rangpur Division,Dinajpur,Birampur,180549,Very High ,36.5,3.9
Rangpur Division,Dinajpur,Birganj,350512,High ,23.2,4.2
Rangpur Division,Dinajpur,Birol,279378,High ,27.9,10.9
Rangpur Division,Dinajpur,Bochaganj,168980,Very High ,44.6,4.6
Rangpur Division,Dinajpur,Chirirbandar,318152,High ,21.2,5.2
Rangpur Division,Dinajpur,Fulbari,190033,High ,27,8.1
Rangpur Division,Dinajpur,Ghoraghat,128040,High ,28,9.2
Rangpur Division,Dinajpur,Hakimpur,93438,Moderate ,19.5,3.8
Rangpur Division,Dinajpur,Kaharole,171854,Very High ,29.5,10.6
Rangpur Division,Dinajpur,Khansama,195852,High ,27.4,4.5
Rangpur Division,Dinajpur,Dinajpur Sadar,516003,High ,24.5,2.9
Rangpur Division,Dinajpur,Nababganj,250292,High ,24.4,10.4
Rangpur Division,Dinajpur,Parbatipur,393568,Moderate ,16.7,5
Rangpur Division,Gaibandha,Fulchhari,165143,Moderate ,19.8,4.9
Rangpur Division,Gaibandha,Gaibandha Sadar,486698,Very High ,31,4.1
Rangpur Division,Gaibandha,Gobindaganj,537752,Moderate ,17.1,3
Rangpur Division,Gaibandha,Palashbari,264626,Very High ,41.7,3.8
Rangpur Division,Gaibandha,Sadullapur,310342,Moderate ,20.9,3.8
Rangpur Division,Gaibandha,Saghata,286413,High ,23,7.8
Rangpur Division,Gaibandha,Sundarganj,478385,High ,21.9,2.9
Rangpur Division,Kurigram,Bhurungamari,254439,Very High ,37.6,4.7
Rangpur Division,Kurigram,Rajibpur,78013,Very High ,38.5,8.6
Rangpur Division,Kurigram,Chilmari,130830,Very High ,31.5,10.8
Rangpur Division,Kurigram,Phulbari,184805,High ,24.5,5
Rangpur Division,Kurigram,Kurigram Sadar,351118,Very High ,39,4.6
Rangpur Division,Kurigram,Nageshwari,441325,Very High ,35.5,4.2
Rangpur Division,Kurigram,Rajarhat,201720,Very High ,28.6,13.6
Rangpur Division,Kurigram,Roumari,226313,Very High ,30.2,5.1
Rangpur Division,Kurigram,Ulipur,437277,Moderate ,20.5,5.2
Rangpur Division,"Lalmonirhat
District",Aditmari,248355,Moderate ,16.5,4.1
Rangpur Division,"Lalmonirhat
District",Hatibandha,261862,Very Low ,9.6,3.3
Rangpur Division,"Lalmonirhat
District",Kaliganj,274407,High ,26.5,3.5
Rangpur Division,"Lalmonirhat
District",Lalmonirhat Sadar,368234,Moderate ,21.1,7.2
Rangpur Division,"Lalmonirhat
District",Patgram,260597,High ,25.2,3.4
Rangpur Division,Nilphamari,Dimla,314675,Moderate ,20.9,3.8
Rangpur Division,Nilphamari,Domar,279296,Moderate ,18.4,4.7
Rangpur Division,Nilphamari,Jaldhaka,383369,Very High ,29.1,4
Rangpur Division,Nilphamari,Kishoreganj,265897,High ,25.9,7.7
Rangpur Division,Nilphamari,Nilphamari Sadar,515038,Moderate ,17.7,2.9
Rangpur Division,Nilphamari,Saidpur,306299,High ,22.9,5.1
Rangpur Division,Panchagarh,Atowari,139976,Very High ,29.4,12.5
Rangpur Division,Panchagarh,Boda,272127,Very High ,48.2,5.5
Rangpur Division,Panchagarh,Debiganj,263429,Very High ,30.3,5.3
Rangpur Division,Panchagarh,Panchagarh Sadar,328199,Very High ,31.6,10.8
Rangpur Division,Panchagarh,Tentulia,157044,Moderate ,19,4.5
Rangpur Division,Rangpur,Badarganj,310599,High ,21.5,4.8
Rangpur Division,Rangpur,Gangachara,283675,Moderate ,15.3,4.7
Rangpur Division,Rangpur,Hajirhat,76167,Very High ,38.2,7.3
Rangpur Division,Rangpur,Haragachh,61660,Very High ,42,8
Rangpur Division,Rangpur,Kaunia,236988,High ,24.7,6.6
Rangpur Division,Rangpur,Kotwali,310859,High ,22.4,4.5
Rangpur Division,Rangpur,Rangpur Sadar,176621,Moderate ,20.5,3.9
Rangpur Division,Rangpur,Mahiganj,54689,Very High ,29.9,7.3
Rangpur Division,Rangpur,Mithapukur,533435,Moderate ,20.3,4
Rangpur Division,Rangpur,Parshuram,68773,Very High ,30.6,7.9
Rangpur Division,Rangpur,Pirgachha,323670,Low ,14.1,3.6
Rangpur Division,Rangpur,Pirganj,407669,High ,22.3,4.4
Rangpur Division,Rangpur,Tajhat,79421,Very High ,31.6,7.5
Rangpur Division,Rangpur,Taraganj,158212,High ,22.5,7.7
Rangpur Division,Thakurgaon,Baliadangi,205904,Very High ,30.9,5.2
Rangpur Division,Thakurgaon,Haripur,158103,High ,23.5,9.9
Rangpur Division,Thakurgaon,Pirganj,260952,High ,24,3.6
Rangpur Division,Thakurgaon,Ranishankail,239193,Moderate ,17,5.1
Rangpur Division,Thakurgaon,Thakurgaon Sadar,641387,High ,22.8,4.1
Sylhet Division,Habiganj,Ajmiriganj,125661,Low ,12.4,6.4
Sylhet Division,Habiganj,Bahubal,216474,Moderate ,20.3,1.7
Sylhet Division,Habiganj,Baniachong,353339,Low ,11.7,2.7
Sylhet Division,Habiganj,Chunarughat,338982,Low ,11.1,1.6
Sylhet Division,Habiganj,Habiganj Sadar,296592,Very Low ,7.4,1.3
Sylhet Division,Habiganj,Lakhai,157465,Low ,10.2,2.3
Sylhet Division,Habiganj,Madhabpur,376071,Very Low ,9.1,1.9
Sylhet Division,Habiganj,Nabiganj,363472,Low ,10,1.7
Sylhet Division,Habiganj,Shayestaganj,93042,Very Low ,6.2,3.3
Sylhet Division,"Moulvibazar
District",Baralekha,278828,Low ,12.1,2.7
Sylhet Division,"Moulvibazar
District",Juri,161181,High ,25.8,6.7
Sylhet Division,"Moulvibazar
District",Kamalganj,286682,High ,22,2.1
Sylhet Division,"Moulvibazar
District",Kulaura,394156,High ,26.5,2.5
Sylhet Division,"Moulvibazar
District",Moulvibazar Sadar,365077,Low ,11,2.4
Sylhet Division,"Moulvibazar
District",Rajnagar,248235,Low ,12.8,3.1
Sylhet Division,"Moulvibazar
District",Sreemangal,354710,Very High ,31.3,2.4
Sylhet Division,Sunamganj,Bishwambharpur,189574,Very High ,46.7,5.2
Sylhet Division,Sunamganj,Chhatak,442203,Very High ,29.3,2.4
Sylhet Division,Sunamganj,Derai,252129,Moderate ,19.1,4.4
Sylhet Division,Sunamganj,Dharmapasha,132247,High ,25.7,10.7
Sylhet Division,Sunamganj,Dowarabazar,258969,High ,22.9,3.4
Sylhet Division,Sunamganj,Jagannathpur,261626,Very High ,28.9,4
Sylhet Division,Sunamganj,Jamalganj,185134,Very High ,30.2,4.4
Sylhet Division,Sunamganj,Madhyanagar,95248,High ,25.5,9.5
Sylhet Division,Sunamganj,Shalla,116907,Very High ,34.8,4.9
Sylhet Division,Sunamganj,Shantiganj,203664,High ,28.2,11.7
Sylhet Division,Sunamganj,Sunamganj Sadar,313964,Moderate ,20,3.9
Sylhet Division,Sunamganj,Tahirpur,223551,High ,22.7,4.6
Sylhet Division,Sylhet,Airport,87535,Very Low ,9.2,2.7
Sylhet Division,Sylhet,Balaganj,122741,Moderate ,17.1,7.8
Sylhet Division,Sylhet,Beanibazar,254846,Moderate ,20,2.7
Sylhet Division,Sylhet,Bishwanath,234310,Moderate ,19.8,3.5
Sylhet Division,Sylhet,Companiganj,191183,Moderate ,19.5,3.5
Sylhet Division,Sylhet,Dakkhin Surma,294637,Very Low ,9.1,2.4
Sylhet Division,Sylhet,Fenchuganj,112362,Moderate ,16.9,3.2
Sylhet Division,Sylhet,Golapganj,327314,High ,22.2,2.3
Sylhet Division,Sylhet,Gowainghat,353502,Moderate ,19.1,3.6
Sylhet Division,Sylhet,Jalalabad,30081,Very Low ,7.9,2.6
Sylhet Division,Sylhet,Jaintapur,197738,Low ,12.3,4
Sylhet Division,Sylhet,Kotwali,238680,Very Low ,9.3,1.6
Sylhet Division,Sylhet,Moglabazar,19921,Moderate ,15.9,6.8
Sylhet Division,Sylhet,Kanaighat,315777,Low ,9.9,2.9
Sylhet Division,Sylhet,Osmaninagar,212394,Moderate ,20.2,3.1
Sylhet Division,Sylhet,Sylhet Sadar,418670,Moderate ,20.1,2
Sylhet Division,Sylhet,Shahparan,76022,Very Low ,8.3,1.9
Sylhet Division,Sylhet,Zakiganj,263617,Low ,13.5,3.5
